run,process,local_time,total_time
0,0,776.552,820.182
0,1,787.41,
0,2,748.827,
0,3,790.621,
0,4,794.628,
0,5,792.31,
0,6,760.77,
0,7,791.781,
0,8,787.165,
0,9,750.805,
0,10,789.722,
0,11,792.322,
0,12,501.723,
0,13,492.823,
0,14,433.207,
0,15,438.236,
1,0,785.365,820.487
1,1,791.538,
1,2,760.078,
1,3,800.761,
1,4,794.286,
1,5,793.268,
1,6,788.552,
1,7,774.303,
1,8,787.096,
1,9,756.998,
1,10,798.402,
1,11,785.523,
1,12,486.264,
1,13,492.298,
1,14,430.773,
1,15,434.369,
2,0,802.628,825.712
2,1,809.462,
2,2,775.011,
2,3,801.159,
2,4,795.077,
2,5,792.426,
2,6,772.261,
2,7,776.961,
2,8,784.566,
2,9,743.276,
2,10,775.769,
2,11,792.132,
2,12,482.423,
2,13,500.451,
2,14,427.848,
2,15,442.316,
